source,target,output_fn,reference_fn,label
p225,p226,p225-p226/p225_051.wav,p226/p226_051.wav,0
p225,p226,p225-p226/p225_052.wav,p226/p226_052.wav,0
p225,p226,p225-p226/p225_053.wav,p226/p226_053.wav,0
p225,p226,p225-p226/p225_054.wav,p226/p226_054.wav,0
p225,p226,p225-p226/p225_056.wav,p226/p226_056.wav,0
p225,p225,p225/p225_051.wav,p225/p225_149.wav,1
p225,p225,p225/p225_052.wav,p225/p225_322.wav,1
p225,p225,p225/p225_053.wav,p225/p225_322.wav,1
p225,p225,p225/p225_054.wav,p225/p225_366.wav,1
p225,p225,p225/p225_056.wav,p225/p225_310.wav,1
p225,p227,p225-p227/p225_051.wav,p227/p227_051.wav,0
p225,p227,p225-p227/p225_052.wav,p227/p227_052.wav,0
p225,p227,p225-p227/p225_053.wav,p227/p227_053.wav,0
p225,p227,p225-p227/p225_054.wav,p227/p227_054.wav,0
p225,p227,p225-p227/p225_056.wav,p227/p227_056.wav,0
p225,p225,p225/p225_051.wav,p225/p225_316.wav,1
p225,p225,p225/p225_052.wav,p225/p225_083.wav,1
p225,p225,p225/p225_053.wav,p225/p225_121.wav,1
p225,p225,p225/p225_054.wav,p225/p225_308.wav,1
p225,p225,p225/p225_056.wav,p225/p225_109.wav,1
p225,p228,p225-p228/p225_051.wav,p228/p228_051.wav,0
p225,p228,p225-p228/p225_052.wav,p228/p228_052.wav,0
p225,p228,p225-p228/p225_053.wav,p228/p228_053.wav,0
p225,p228,p225-p228/p225_054.wav,p228/p228_054.wav,0
p225,p228,p225-p228/p225_056.wav,p228/p228_056.wav,0
p225,p225,p225/p225_051.wav,p225/p225_054.wav,1
p225,p225,p225/p225_052.wav,p225/p225_268.wav,1
p225,p225,p225/p225_053.wav,p225/p225_117.wav,1
p225,p225,p225/p225_054.wav,p225/p225_347.wav,1
p225,p225,p225/p225_056.wav,p225/p225_037.wav,1
p225,p229,p225-p229/p225_051.wav,p229/p229_051.wav,0
p225,p229,p225-p229/p225_052.wav,p229/p229_052.wav,0
p225,p229,p225-p229/p225_053.wav,p229/p229_053.wav,0
p225,p229,p225-p229/p225_054.wav,p229/p229_054.wav,0
p225,p229,p225-p229/p225_056.wav,p229/p229_056.wav,0
p225,p225,p225/p225_051.wav,p225/p225_071.wav,1
p225,p225,p225/p225_052.wav,p225/p225_322.wav,1
p225,p225,p225/p225_053.wav,p225/p225_296.wav,1
p225,p225,p225/p225_054.wav,p225/p225_030.wav,1
p225,p225,p225/p225_056.wav,p225/p225_083.wav,1
