source,target,output_fn,reference_fn,label
p234,p237,p234-p237/p234_050.wav,p237/p237_050.wav,0
p234,p237,p234-p237/p234_051.wav,p237/p237_051.wav,0
p234,p237,p234-p237/p234_052.wav,p237/p237_052.wav,0
p234,p237,p234-p237/p234_053.wav,p237/p237_053.wav,0
p234,p237,p234-p237/p234_054.wav,p237/p237_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_160.wav,1
p234,p234,p234/p234_051.wav,p234/p234_176.wav,1
p234,p234,p234/p234_052.wav,p234/p234_123.wav,1
p234,p234,p234/p234_053.wav,p234/p234_146.wav,1
p234,p234,p234/p234_054.wav,p234/p234_103.wav,1
p234,p241,p234-p241/p234_050.wav,p241/p241_050.wav,0
p234,p241,p234-p241/p234_051.wav,p241/p241_051.wav,0
p234,p241,p234-p241/p234_052.wav,p241/p241_052.wav,0
p234,p241,p234-p241/p234_053.wav,p241/p241_053.wav,0
p234,p241,p234-p241/p234_055.wav,p241/p241_055.wav,0
p234,p234,p234/p234_050.wav,p234/p234_143.wav,1
p234,p234,p234/p234_051.wav,p234/p234_358.wav,1
p234,p234,p234/p234_052.wav,p234/p234_123.wav,1
p234,p234,p234/p234_053.wav,p234/p234_094.wav,1
p234,p234,p234/p234_054.wav,p234/p234_063.wav,1
p234,p246,p234-p246/p234_050.wav,p246/p246_050.wav,0
p234,p246,p234-p246/p234_051.wav,p246/p246_051.wav,0
p234,p246,p234-p246/p234_052.wav,p246/p246_052.wav,0
p234,p246,p234-p246/p234_053.wav,p246/p246_053.wav,0
p234,p246,p234-p246/p234_054.wav,p246/p246_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_302.wav,1
p234,p234,p234/p234_051.wav,p234/p234_137.wav,1
p234,p234,p234/p234_052.wav,p234/p234_178.wav,1
p234,p234,p234/p234_053.wav,p234/p234_042.wav,1
p234,p234,p234/p234_054.wav,p234/p234_250.wav,1
p234,p247,p234-p247/p234_050.wav,p247/p247_050.wav,0
p234,p247,p234-p247/p234_051.wav,p247/p247_051.wav,0
p234,p247,p234-p247/p234_052.wav,p247/p247_052.wav,0
p234,p247,p234-p247/p234_053.wav,p247/p247_053.wav,0
p234,p247,p234-p247/p234_054.wav,p247/p247_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_092.wav,1
p234,p234,p234/p234_051.wav,p234/p234_341.wav,1
p234,p234,p234/p234_052.wav,p234/p234_034.wav,1
p234,p234,p234/p234_053.wav,p234/p234_169.wav,1
p234,p234,p234/p234_054.wav,p234/p234_103.wav,1
p234,p249,p234-p249/p234_050.wav,p249/p249_050.wav,0
p234,p249,p234-p249/p234_051.wav,p249/p249_051.wav,0
p234,p249,p234-p249/p234_052.wav,p249/p249_052.wav,0
p234,p249,p234-p249/p234_053.wav,p249/p249_053.wav,0
p234,p249,p234-p249/p234_054.wav,p249/p249_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_070.wav,1
p234,p234,p234/p234_051.wav,p234/p234_162.wav,1
p234,p234,p234/p234_052.wav,p234/p234_260.wav,1
p234,p234,p234/p234_053.wav,p234/p234_253.wav,1
p234,p234,p234/p234_054.wav,p234/p234_099.wav,1
p234,p252,p234-p252/p234_050.wav,p252/p252_050.wav,0
p234,p252,p234-p252/p234_051.wav,p252/p252_051.wav,0
p234,p252,p234-p252/p234_052.wav,p252/p252_052.wav,0
p234,p252,p234-p252/p234_053.wav,p252/p252_053.wav,0
p234,p252,p234-p252/p234_054.wav,p252/p252_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_159.wav,1
p234,p234,p234/p234_051.wav,p234/p234_211.wav,1
p234,p234,p234/p234_052.wav,p234/p234_147.wav,1
p234,p234,p234/p234_053.wav,p234/p234_279.wav,1
p234,p234,p234/p234_054.wav,p234/p234_311.wav,1
p234,p255,p234-p255/p234_050.wav,p255/p255_050.wav,0
p234,p255,p234-p255/p234_051.wav,p255/p255_051.wav,0
p234,p255,p234-p255/p234_052.wav,p255/p255_052.wav,0
p234,p255,p234-p255/p234_053.wav,p255/p255_053.wav,0
p234,p255,p234-p255/p234_054.wav,p255/p255_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_318.wav,1
p234,p234,p234/p234_051.wav,p234/p234_249.wav,1
p234,p234,p234/p234_052.wav,p234/p234_216.wav,1
p234,p234,p234/p234_053.wav,p234/p234_250.wav,1
p234,p234,p234/p234_054.wav,p234/p234_356.wav,1
p234,p260,p234-p260/p234_050.wav,p260/p260_050.wav,0
p234,p260,p234-p260/p234_051.wav,p260/p260_051.wav,0
p234,p260,p234-p260/p234_052.wav,p260/p260_052.wav,0
p234,p260,p234-p260/p234_053.wav,p260/p260_053.wav,0
p234,p260,p234-p260/p234_054.wav,p260/p260_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_188.wav,1
p234,p234,p234/p234_051.wav,p234/p234_088.wav,1
p234,p234,p234/p234_052.wav,p234/p234_205.wav,1
p234,p234,p234/p234_053.wav,p234/p234_334.wav,1
p234,p234,p234/p234_054.wav,p234/p234_354.wav,1
p234,p262,p234-p262/p234_050.wav,p262/p262_050.wav,0
p234,p262,p234-p262/p234_051.wav,p262/p262_051.wav,0
p234,p262,p234-p262/p234_052.wav,p262/p262_052.wav,0
p234,p262,p234-p262/p234_053.wav,p262/p262_053.wav,0
p234,p262,p234-p262/p234_054.wav,p262/p262_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_162.wav,1
p234,p234,p234/p234_051.wav,p234/p234_259.wav,1
p234,p234,p234/p234_052.wav,p234/p234_313.wav,1
p234,p234,p234/p234_053.wav,p234/p234_342.wav,1
p234,p234,p234/p234_054.wav,p234/p234_097.wav,1
p234,p263,p234-p263/p234_050.wav,p263/p263_050.wav,0
p234,p263,p234-p263/p234_051.wav,p263/p263_051.wav,0
p234,p263,p234-p263/p234_052.wav,p263/p263_052.wav,0
p234,p263,p234-p263/p234_053.wav,p263/p263_053.wav,0
p234,p263,p234-p263/p234_054.wav,p263/p263_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_255.wav,1
p234,p234,p234/p234_051.wav,p234/p234_257.wav,1
p234,p234,p234/p234_052.wav,p234/p234_304.wav,1
p234,p234,p234/p234_053.wav,p234/p234_118.wav,1
p234,p234,p234/p234_054.wav,p234/p234_178.wav,1
p234,p264,p234-p264/p234_050.wav,p264/p264_050.wav,0
p234,p264,p234-p264/p234_051.wav,p264/p264_051.wav,0
p234,p264,p234-p264/p234_053.wav,p264/p264_053.wav,0
p234,p264,p234-p264/p234_054.wav,p264/p264_054.wav,0
p234,p264,p234-p264/p234_055.wav,p264/p264_055.wav,0
p234,p234,p234/p234_050.wav,p234/p234_131.wav,1
p234,p234,p234/p234_051.wav,p234/p234_119.wav,1
p234,p234,p234/p234_052.wav,p234/p234_297.wav,1
p234,p234,p234/p234_053.wav,p234/p234_211.wav,1
